node,betweenness,pagerank,in_degree,out_degree
IND122503AAA,0.0004039143570208854,0.00021989453119478262,1,1
IND122004AAA,0.0,0.00011885703607827519,0,2
IND122413AAE,0.0,0.00016872100425641194,1,0
IND123001AAA,0.0016156574280835414,0.0006852846618559185,2,1
IND123401AAB,0.0016134681903761114,0.0007017823168765908,1,2
IND123106AAB,0.0,0.00041119333168787955,1,0
IND124001AAB,0.0012150269276238015,0.0003087419567332642,1,1
IND126102AAA,0.0012128376899163712,0.0003813644037958887,1,2
IND124141AAA,0.001208459214501511,0.0006415424926855178,1,1
IND124507AAA,0.0008085584599442474,0.000706684273483523,2,2
IND131028AAE,0.0,0.00044000834241508715,1,1
IND125047AAB,0.0004152254185092751,0.0006506538754450094,2,2
IND125051AAA,0.0016149276821810646,0.0011640132625670024,3,1
IND335501AAA,0.0004053738488258389,0.00047750317221922586,1,1
IND335513AAA,0.004838580206372141,0.0012904485423365154,3,3
IND335523AAB,0.00041074743228953125,0.0010833212707887798,3,1
IND335524AAA,0.0,0.0005467635031455094,2,1
IND125050AAA,0.0,0.00045696487810036924,1,1
IND125111AAA,0.0016127384444736346,0.0011076411623760702,1,1
IND125104AAA,0.0028091568515842776,0.0006091795900583332,1,1
IND125121AAA,0.0016105492067662044,0.0010594888675820072,1,1
IND126116AAA,0.0,0.00028756690950483847,1,1
IND131301AAA,0.0012084592145015106,0.0005189360953018607,2,1
IND126112AAA,0.0,0.00011885703607827519,0,1
IND127201AAA,0.001210648452208941,0.0006146514337307701,1,1
IND131021AAA,0.0,0.00011885703607827519,0,1
IND131028AAA,0.0,0.00021989453119478262,1,0
IND132103AAA,0.0008100179517492009,0.000490869507925911,2,2
IND136118AAA,0.0012183107841849468,0.00032708869672216397,1,1
IND201204AAA,0.0,0.0003134092445630764,1,1
IND244001AAA,0.003618809930382241,0.00029804985968269736,1,1
IND244235AAA,0.0071847132828349175,0.00027507101524401265,1,1
IND247667AAA,0.0,0.00030800501654960964,1,1
IND247667AAB,0.0,0.0003174624155731765,1,1
IND248001AAA,0.001209736269830845,0.0006482559210981592,3,1
IND248001AAD,0.00040263730169155104,0.0004794743545208966,2,1
IND249407AAA,0.004033305602989039,0.002059627108695365,5,3
IND250002AAA,0.0004031846111184086,0.0006507840167585355,3,1
IND250609AAA,0.0,0.0004541648196410954,1,0
IND250611AAA,0.0008103828247004393,0.00046005089315925927,1,1
IND251001AAA,0.0004053738488258389,0.00031110476606235063,1,1
IND132001AAA,0.00040555628530145803,0.00041558823389230976,2,3
IND132103AAB,0.0,0.00025147036553641814,1,2
IND133004AAA,0.0,0.00011885703607827519,0,1
IND135001AAA,0.0008085584599442474,0.0004883266847487362,2,1
IND134102AAA,1.824364756191894e-07,0.00028446131659274064,2,1
IND174103AAA,0.0006044120437263745,0.0007567421814028948,4,1
IND134109AAA,0.0,0.00011885703607827519,0,1
IND134203AAA,0.0004053738488258389,0.00033935487649759417,1,2
IND140501AAA,0.0,0.0002535304167630909,1,1
IND173025AAA,0.0008063692222368172,0.0005341102543552927,1,1
IND136027AAA,0.0004068333406307924,0.0004564299458997505,1,1
IND132039AAA,0.0,0.000506929534943981,1,0
IND136128AAA,0.000812936935359108,0.0003969656730195563,1,1
IND140001AAA,0.0004053738488258389,0.0002542766929035895,1,1
IND140118AAA,0.0004031846111184086,0.00033506599293097817,1,1
IND140301AAA,0.0008103828247004393,0.0003332299364859464,1,2
IND140901AAA,0.00040245486521593184,0.00044490792900234654,2,2
IND140401AAA,0.0004033670475940277,0.0007533885753478258,2,3
IND160055AAA,0.0,0.0004897015568076794,2,1
IND141003AAB,0.0,0.00011885703607827519,0,3
IND141109AAA,0.0,0.00019391290521708404,2,1
IND142026AAA,0.0,0.00015715100375088953,1,2
IND141010AAA,0.0,0.00011885703607827519,0,1
IND141115AAA,0.0004035494840696469,0.0003486707972515387,2,1
IND151001AAA,0.0050367062188945814,0.0023629002939664504,6,4
IND144001AAA,0.0,0.00048381449393883574,1,1
IND144040AAA,0.0008060043492855788,0.0007909795399773067,2,1
IND144401AAB,0.0,0.0004681514758476682,1,1
IND144601AAA,0.0008103828247004393,0.0007355800312961098,1,2
IND144001AAC,0.0,0.00011885703607827519,0,2
IND144527AAA,0.0,0.00011885703607827519,0,1
IND145001AAA,1.0946188537151365e-06,0.0008495481239484669,1,2
IND176201AAA,0.0,0.000566286494939134,1,1
IND176303AAA,1.0946188537151365e-06,0.0008747440458749732,2,1
IND147001AAB,0.00040354948406964695,0.0005041801312276928,2,2
IND147201AAA,1.0946188537151365e-06,0.0004132796755150041,2,1
IND147001AAD,0.0016196710305471636,0.00046662669667391304,2,3
IND148023AAA,0.000812936935359108,0.0005714238600038937,2,2
IND147101AAA,0.0,0.000736936389528521,2,2
IND147105AAA,0.0,0.0006602669667116537,2,2
IND148001AAA,0.0,0.0003111313387434398,1,0
