node,betweenness,pagerank,in_degree,out_degree,hub_delay,hub_volume,bottleneck_score
IND000000ACB,0.22022768627996903,0.010075368122468524,45,49,1.5714285714285714,23347.0,3.4808852299535924
IND562132AAA,0.1249428383249191,0.008606400427067725,36,35,1.5,9975.0,1.7256987671837498
IND712311AAA,0.09065944258450837,0.006648063483160932,24,22,1.8,2612.0,1.2839967824855023
IND501359AAE,0.09263166084939613,0.007977618261747303,30,27,1.693979933110368,3340.0,1.2732218334238452
IND421302AAG,0.06962523683824724,0.006028927739007253,29,29,1.7647058823529411,9088.0,1.1199203172045042
IND160002AAC,0.0550782085482796,0.008369376920500953,32,29,1.6666666666666667,2450.0,0.716406975441935
IND781018AAB,0.044541680004588025,0.004345763178683611,17,15,1.8355855855855856,1568.0,0.6016064052026682
IND411033AAA,0.04325401183047964,0.005900847983425708,23,20,1.5555555555555556,4061.0,0.5590918909723608
IND131028AAB,0.04783690260196255,0.00541423200681293,20,20,1.5,1682.0,0.5330226772581464
IND110037AAM,0.04133064983259041,0.005057276304490295,21,24,1.6470588235294117,2013.0,0.5178987793670625
